"Kulcs","Feladattípus","Fölérendelt","Összefoglalás","Állapot","Hozzárendelt személy","Sprint","Start date","Következtetett kezdő dátum","Határidő","Következtetett határidő","Issue color"
"SCRUM-157","Feladat","SCRUM-306","Created Angular version of project","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-158","Feladat","SCRUM-306","Add assets, styles, and PHP folders","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-159","Feladat","SCRUM-306","Create basic components","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-160","Feladat","SCRUM-306","Add user registration service","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-161","Feladat","SCRUM-306","Implement username-password login","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-162","Feladat","SCRUM-306","Implement responsive design","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-163","Feladat","SCRUM-306","Integrate services","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-164","Feladat","SCRUM-306","Add new pop-up component for messages","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-171","Story","SCRUM-306","UI/UX Improvements and Bug Fixes","Kész","Patrik Kőszegi","","2025/01/07","","2025/01/23","","purple"
"SCRUM-172","Feladat","SCRUM-306","Improve styling for registration and login","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-173","Feladat","SCRUM-306","Fix form cancel warnings","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-174","Feladat","SCRUM-306","Add animations and responsiveness","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-175","Feladat","SCRUM-306","Fix errors and remove unnecessary functions","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-194","Story","SCRUM-306","UI Components and Styling Enhancement","Kész","Patrik Kőszegi","","2025/02/12","","2025/02/13","","purple"
"SCRUM-195","Feladat","SCRUM-306","Implement basic UI for group, calendar, event, and profile components","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-196","Feladat","SCRUM-306","Fix header styling and positioning","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-197","Feladat","SCRUM-306","Optimize mobile device layout","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-198","Feladat","SCRUM-306","Add custom scrollbar","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-199","Feladat","SCRUM-306","Implement hamburger menu for mobile resolution","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-200","Feladat","SCRUM-306","Modify searchbar styling","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-201","Feladat","SCRUM-306","Rearrange files into descriptive folders","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-202","Feladat","SCRUM-306","Transform search bar into standalone component","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-211","Story","SCRUM-306","Animation and Visual Feedback","Kész","Patrik Kőszegi","","2025/02/17","","2025/02/20","","purple"
"SCRUM-212","Feladat","SCRUM-306","Implement welcome page animation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-213","Feladat","SCRUM-306","Add SVG animations for registration and login","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-214","Feladat","SCRUM-306","Create animation for page not found component","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-215","Feladat","SCRUM-306","Implement loading animation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-216","Feladat","SCRUM-306","Add breathing linear gradient animation to profile header","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-217","Feladat","SCRUM-306","Implement lazy loading for main-site animations","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-218","Story","SCRUM-306","Profile Management Features","Kész","Patrik Kőszegi","","2025/02/19","","2025/02/21","","purple"
"SCRUM-219","Feladat","SCRUM-306"," Create self-profile component","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-220","Feladat","SCRUM-306","Implement profile screenshot feature with animation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-221","Feladat","SCRUM-306","Add follow/unfollow functionality","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-222","Feladat","SCRUM-306","Implement profile picture interactions","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-223","Feladat","SCRUM-306","Set up profile data fetching and display","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-224","Feladat","SCRUM-306"," Add visual feedback for fetched profile data","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-225","Feladat","SCRUM-306","Implement proper routing for profile views","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-241","Story","SCRUM-306","Layout and UI redesign for some components","Kész","Patrik Kőszegi","","2025/02/26","","2025/02/27","","purple"
"SCRUM-242","Bug","SCRUM-306","Infocard components misalignment","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-243","Bug","SCRUM-306","Hover issue on password input field","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-244","Bug","SCRUM-306","Registration form scrolling issue","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-245","Bug","SCRUM-306","Custom scrollbar not appearing","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-246","Bug","SCRUM-306","Group list scrolling issue","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-248","Bug","SCRUM-306","Profile inspection requires refresh","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-249","Bug","SCRUM-306","Spacing issue in self-profile view","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-291","Story","SCRUM-306","Footer modifications","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/02","","purple"
"SCRUM-292","Feladat","SCRUM-306","Display Correct Year Dynamically","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-293","Feladat","SCRUM-306","Add Link to the ""UNIverse"" Text","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-298","Story","SCRUM-306","Group UI Redesign","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-299","Feladat","SCRUM-306","Update Group List UI","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-300","Feladat","SCRUM-306","Implement Expandable Group View","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-301","Feladat","SCRUM-306","Add UI Styling Enhancements","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-302","Bug","SCRUM-306","Snapping effect","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-303","Bug","SCRUM-306","Only 1 group can be opened","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-311","Story","SCRUM-306","Enhance Main Page Design for Better User Experience","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/03","","purple"
"SCRUM-312","Feladat","SCRUM-306","Design Concept & Wireframe","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/03","","purple"
"SCRUM-313","Feladat","SCRUM-306","Update Page Structure","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/03","","purple"
"SCRUM-314","Feladat","SCRUM-306","Enhance Visuals","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/03","","purple"
"SCRUM-315","Feladat","SCRUM-306","Add Interactivity","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/03","","purple"
"SCRUM-316","Feladat","SCRUM-306","Optimize Content","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/03","","purple"
"SCRUM-325","Story","SCRUM-306","Improve Inspection Card UI for Better Readability","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/06","","purple"
"SCRUM-326","Feladat","SCRUM-306","Redesign Layout","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/06","","purple"
"SCRUM-327","Feladat","SCRUM-306","Increase Card Size","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/06","","purple"
"SCRUM-328","Feladat","SCRUM-306","Implement Responsive Design ","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/06","","purple"
"SCRUM-329","Feladat","SCRUM-306","Update Color Scheme","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/06","","purple"
"SCRUM-330","Feladat","SCRUM-306","Optimize UI Components","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/06","","purple"
"SCRUM-336","Story","SCRUM-306","Button Component Enhancement","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/03","","purple"
"SCRUM-337","Feladat","SCRUM-306","Analyze Current Button Component Implementation","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/03","","purple"
"SCRUM-338","Feladat","SCRUM-306","Modify Component to Support New Variants","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/03","","purple"
"SCRUM-339","Feladat","SCRUM-306","Update Button Component Props & Logic","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/03","","purple"
"SCRUM-342","Story","SCRUM-306","Improve UI Layout and Localization at Main Site Component","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/05","","purple"
"SCRUM-343","Feladat","SCRUM-306","Radio button position","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/05","","purple"
"SCRUM-344","Feladat","SCRUM-306","Activity block height","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/05","","purple"
"SCRUM-345","Feladat","SCRUM-306","Scroll bar at quick access","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/05","","purple"
"SCRUM-346","Feladat","SCRUM-306","Language and time format","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/05","","purple"
"SCRUM-347","Feladat","SCRUM-306","Date position","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/05","","purple"
"SCRUM-348","Feladat","SCRUM-306","Height mismatch","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/05","","purple"
"SCRUM-359","Story","SCRUM-306","Enhance Search Bar with Animations and Effects","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-360","Feladat","SCRUM-306","Expand / collapse animation","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-361","Feladat","SCRUM-306","Hover effect","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-362","Feladat","SCRUM-306","Typing animation","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-363","Feladat","SCRUM-306","Fade in/out effects","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-374","Story","SCRUM-306","Display Full University Name in Self-Profile Inspection","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-375","Feladat","SCRUM-306","Full university name","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-379","Story","SCRUM-306","Update Webpage Title Based on Active Page","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/05","","purple"
"SCRUM-380","Feladat","SCRUM-306","Identify Page Change Events","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/05","","purple"
"SCRUM-381","Feladat","SCRUM-306","Update Document Title Dynamically","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/05","","purple"
"SCRUM-382","Feladat","SCRUM-306","Refactor & Optimize","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/05","","purple"
"SCRUM-395","Story","SCRUM-306","Modify Uninote Shortcut for Improved Usability","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-396","Feladat","SCRUM-306","UI Update for Delete Button","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-397","Feladat","SCRUM-306","Implement Delete Functionality","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-410","Story","SCRUM-306","Redesign Header with a Modern UI","Kész","Patrik Kőszegi","","2025/03/11","","2025/03/13","","purple"
"SCRUM-411","Feladat","SCRUM-306","Create New UI Design for Header","Kész","Patrik Kőszegi","","2025/03/11","","2025/03/13","","purple"
"SCRUM-412","Feladat","SCRUM-306","Implement the Redesigned Header","Kész","Patrik Kőszegi","","2025/03/11","","2025/03/13","","purple"
"SCRUM-413","Feladat","SCRUM-306","Preserve Existing Functionality","Kész","Patrik Kőszegi","","2025/03/11","","2025/03/13","","purple"
"SCRUM-426","Story","SCRUM-306","Remove Unnecessary ""Save Changes"" Button in Settings Component","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-427","Feladat","SCRUM-306","Identify location","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-428","Feladat","SCRUM-306","Remove element","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-429","Feladat","SCRUM-306","Check software flow","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-430","Feladat","SCRUM-306","Clean up","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-479","Story","SCRUM-306","Theme loading after logging out","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-480","Feladat","SCRUM-306","Check current behavior of theme persistence on logout","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-481","Feladat","SCRUM-306","Implement saving theme settings to localStorage","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-482","Feladat","SCRUM-306","Implement loading theme settings from localStorage on page load","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-505","Story","SCRUM-306","Add Blur Effect to Loader","Kész","Patrik Kőszegi","","2025/03/11","","2025/03/12","","purple"
"SCRUM-506","Feladat","SCRUM-306","Modify component","Kész","Patrik Kőszegi","","2025/03/11","","2025/03/12","","purple"
"SCRUM-507","Feladat","SCRUM-306","Blur effect location","Kész","Patrik Kőszegi","","2025/03/11","","2025/03/12","","purple"
"SCRUM-518","Story","SCRUM-306","Display Full Faculty Name in User Profile Component","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-519","Feladat","SCRUM-306","Full display","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-520","Feladat","SCRUM-306","Styles","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/14","","purple"
"SCRUM-525","Story","SCRUM-306","Add Styles to the Professional Search Checkbox","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/18","","purple"
"SCRUM-526","Feladat","SCRUM-306","Styles","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/18","","purple"
"SCRUM-527","Feladat","SCRUM-306","States","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/18","","purple"
"SCRUM-532","Story","SCRUM-306","Event Inspection - Choose & Update Participation Status","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-533","Feladat","SCRUM-306","Display Event Details","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-534","Feladat","SCRUM-306","Implement Status Selection & Removal","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-535","Feladat","SCRUM-306"," Persist User Selections ","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-536","Story","SCRUM-306","View Interested/Participating Users in an Event","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/17","","purple"
"SCRUM-537","Feladat","SCRUM-306","Display User List","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/17","","purple"
"SCRUM-538","Feladat","SCRUM-306","Handle Click Events on Counters","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/17","","purple"
"SCRUM-539","Feladat","SCRUM-306","Real-Time Updates","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/17","","purple"
"SCRUM-540","Story","SCRUM-306","Group Event Creation via Popup","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/18","","purple"
"SCRUM-541","Feladat","SCRUM-306","Design Event Creation Popup	","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/18","","purple"
"SCRUM-542","Feladat","SCRUM-306"," Implement Event Submission","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/18","","purple"
"SCRUM-543","Feladat","SCRUM-306","Display New Events in Real-Time","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/18","","purple"
"SCRUM-544","Story","SCRUM-306","Display User's Event Interests & Participations as Small Cards","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-545","Feladat","SCRUM-306","Display Small Event Cards","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-546","Feladat","SCRUM-306","Implement Click Events on Cards","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-547","Feladat","SCRUM-306","Display Participants/Interested Users","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-548","Feladat","SCRUM-306","Real-Time Updates","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-549","Story","SCRUM-306","Improve UI Styling for Opened Group Component","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-550","Feladat","SCRUM-306","Group Header","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-551","Feladat","SCRUM-306","Event Cards","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-552","Feladat","SCRUM-306","Style Interested/Participating Buttons","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-553","Feladat","SCRUM-306","Enhance User Lists UI","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-566","Story","SCRUM-306","Mark Past Events as Expired & Sort Upcoming Events","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/16","","purple"
"SCRUM-567","Feladat","SCRUM-306","UI Updates for Expired Events","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/16","","purple"
"SCRUM-568","Feladat","SCRUM-306","Sorting Functionality","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/16","","purple"
"SCRUM-569","Feladat","SCRUM-306","Sorting Preference Persistence","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/16","","purple"
"SCRUM-570","Feladat","SCRUM-306","Proper Data Handling","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/16","","purple"
"SCRUM-571","Story","SCRUM-306","New Layout for Opened Group Component","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/16","","purple"
"SCRUM-572","Feladat","SCRUM-306","Modify Group Component Layout","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-573","Feladat","SCRUM-306","Update CSS/Styles","Kész","Patrik Kőszegi","","2025/03/14","","2025/03/15","","purple"
"SCRUM-574","Story","SCRUM-306","Improve Event Component Display","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-576","Feladat","SCRUM-306","Display End Date in Event Component","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-577","Feladat","SCRUM-306","Apply Hungarian Time Format to Event Component","Kész","Patrik Kőszegi","","2025/03/16","","2025/03/17","","purple"
"SCRUM-578","Story","SCRUM-306","Modify Self-Profile Component to Horizontal Layout","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-579","Feladat","SCRUM-306","Update Self-Profile Layout to Horizontal","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-580","Feladat","SCRUM-306","Structure Profile Sections into Columns","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-581","Feladat","SCRUM-306","Implement Responsive Design for Mobile","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-307","Eposz","","Navigation, Search & User Interaction Enhancements","Kész","Patrik Kőszegi","","2025/02/06","2025/02/06","2025/03/09","2025/03/09","green"
"SCRUM-61","Feladat","SCRUM-307","Implement interactive form validation","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-183","Story","SCRUM-307","Navigation and Routing Implementation","Kész","Patrik Kőszegi","","2025/02/06","","2025/02/12","","purple"
"SCRUM-184","Feladat","SCRUM-307","Add new routes and configure navigation anchors for redirection","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-185","Feladat","SCRUM-307","Create template components","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-186","Feladat","SCRUM-307","Implement header component for register and login pages","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-187","Feladat","SCRUM-307","Fix double render at main-site","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-188","Feladat","SCRUM-307","Implement logout navigation with functionality","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-189","Feladat","SCRUM-307","Add hamburger menu with auto-scroll functionality","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-190","Feladat","SCRUM-307","Create and implement page not found component","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-191","Feladat","SCRUM-307","Set up route protection for authenticated users","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-192","Feladat","SCRUM-307","Configure correct navigation for header links and paths","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-193","Feladat","SCRUM-307"," Implement parent and child routes","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-203","Story","SCRUM-307","Search Functionality Implementation","Kész","Patrik Kőszegi","","2025/02/13","","2025/02/15","","purple"
"SCRUM-204","Feladat","SCRUM-307","Implement search bar component and service","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-205","Feladat","SCRUM-307","Create search functionality for groups","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-206","Feladat","SCRUM-307","Implement profile search feature","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-207","Feladat","SCRUM-307","Add instant fetch for header navigation menus","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-208","Feladat","SCRUM-307","Create loader component and service","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-209","Feladat","SCRUM-307","Fix search bar placement in main-site","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-210","Feladat","SCRUM-307","Add error handling for empty profile searches","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-250","Story","SCRUM-307","Profile Inspection","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-251","Feladat","SCRUM-307","Editing own profile","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-252","Feladat","SCRUM-307","Improve the UI to be modern and simple.","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-253","Feladat","SCRUM-307","University and faculty displaying","Kész","Patrik Kőszegi","","2025/02/27","","2025/02/28","","purple"
"SCRUM-254","Feladat","SCRUM-307","Follow and unfollow","Kész","Patrik Kőszegi","","2025/02/27","","2025/03/01","","purple"
"SCRUM-255","Feladat","SCRUM-307","Profile saving feature","Kész","Patrik Kőszegi","","2025/02/24","","2025/02/24","","purple"
